TID.string(),TSource.string(),TTestName.string(),TType.string(),TDescription.string(),TIssueName.string(),TIssueType.string(),TSeverity.int32(),TTesterSupport.string(),TPhase.string(),TSection.string(),TStep.string(),TIssueBackground.string(),TRemediationBackground.string(),TRef1.string(),TRef2.string(),TTRef.string(),TCweID.string(),TPCI.boolean(),TTop10.boolean(),TTop25.boolean(),TStdTest.boolean()
ASVS-V01.02.4,OWASP-ASVS,L2/L3 Verify that all authentication pathways and identity management APIs imple...,"Architecture, Design and Threat Modeling Requirements",Verify that all authentication pathways and identity management APIs implement c...,,,,"Verify that all authentication pathways and identity management APIs implement consistent authentication security control strength, such that there are no weaker alternatives per the risk of the application.","V1 Architecture, Design and Threat Modeling Requirements",V1.2 Authentication Architectural Requirements,011,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,306,,,,
ASVS-V01.04.1,OWASP-ASVS,"L2/L3 Verify that trusted enforcement points such as at access control gateways,...","Architecture, Design and Threat Modeling Requirements","Verify that trusted enforcement points such as at access control gateways, serve...",,,,"Verify that trusted enforcement points such as at access control gateways, servers, and serverless functions enforce access controls. Never enforce access controls on the client.","V1 Architecture, Design and Threat Modeling Requirements",V1.4 Access Control Architectural Requirements,012,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,602,,,,
ASVS-V01.04.2,OWASP-ASVS,L2/L3 Verify that the chosen access control solution is flexible enough to meet ...,"Architecture, Design and Threat Modeling Requirements",Verify that the chosen access control solution is flexible enough to meet the ap...,,,,Verify that the chosen access control solution is flexible enough to meet the application's needs. ,"V1 Architecture, Design and Threat Modeling Requirements",V1.4 Access Control Architectural Requirements,013,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,284,,,,
ASVS-V01.04.3,OWASP-ASVS,"L2/L3 Verify enforcement of the principle of least privilege in functions, data ...","Architecture, Design and Threat Modeling Requirements","Verify enforcement of the principle of least privilege in functions, data files,...",,,,"Verify enforcement of the principle of least privilege in functions, data files, URLs, controllers, services, and other resources. This implies protection against spoofing and elevation of privilege.","V1 Architecture, Design and Threat Modeling Requirements",V1.4 Access Control Architectural Requirements,014,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,272,,,,
ASVS-V01.04.4,OWASP-ASVS,L2/L3 Verify the application uses a single and well-vetted access control mechan...,"Architecture, Design and Threat Modeling Requirements",Verify the application uses a single and well-vetted access control mechanism fo...,,,,Verify the application uses a single and well-vetted access control mechanism for accessing protected data and resources. All requests must pass through this single mechanism to avoid copy and paste or insecure alternative paths. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering)),"V1 Architecture, Design and Threat Modeling Requirements",V1.4 Access Control Architectural Requirements,015,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,284,,,,
ASVS-V01.04.5,OWASP-ASVS,L2/L3 Verify that attribute or feature-based access control is used whereby the ...,"Architecture, Design and Threat Modeling Requirements",Verify that attribute or feature-based access control is used whereby the code c...,,,,Verify that attribute or feature-based access control is used whereby the code checks the user's authorization for a feature/data item rather than just their role. Permissions should still be allocated using roles. ([C7](https://owasp.org/www-project-proactive-controls/#div-numbering)),"V1 Architecture, Design and Threat Modeling Requirements",V1.4 Access Control Architectural Requirements,016,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,275,,,,
ASVS-V01.05.1,OWASP-ASVS,L2/L3 Verify that input and output requirements clearly define how to handle and...,"Architecture, Design and Threat Modeling Requirements",Verify that input and output requirements clearly define how to handle and proce...,,,,"Verify that input and output requirements clearly define how to handle and process data based on type, content, and applicable laws, regulations, and other policy compliance. ","V1 Architecture, Design and Threat Modeling Requirements",V1.5 Input and Output Architectural Requirements,017,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,1029,,,,
ASVS-V01.05.2,OWASP-ASVS,L2/L3 Verify that serialization is not used when communicating with untrusted cl...,"Architecture, Design and Threat Modeling Requirements",Verify that serialization is not used when communicating with untrusted clients....,,,,"Verify that serialization is not used when communicating with untrusted clients. If this is not possible, ensure that adequate integrity controls (and possibly encryption if sensitive data is sent) are enforced to prevent deserialization attacks including object injection.","V1 Architecture, Design and Threat Modeling Requirements",V1.5 Input and Output Architectural Requirements,018,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,502,,,,
ASVS-V01.05.3,OWASP-ASVS,L2/L3 Verify that input validation is enforced on a trusted service layer. ([C5]...,"Architecture, Design and Threat Modeling Requirements",Verify that input validation is enforced on a trusted service layer. ([C5](https...,,,,Verify that input validation is enforced on a trusted service layer. ([C5](https://owasp.org/www-project-proactive-controls/#div-numbering)),"V1 Architecture, Design and Threat Modeling Requirements",V1.5 Input and Output Architectural Requirements,019,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,602,,,,
ASVS-V01.05.4,OWASP-ASVS,L2/L3 Verify that output encoding occurs close to or by the interpreter for whic...,"Architecture, Design and Threat Modeling Requirements",Verify that output encoding occurs close to or by the interpreter for which it i...,,,,Verify that output encoding occurs close to or by the interpreter for which it is intended. ([C4](https://owasp.org/www-project-proactive-controls/#div-numbering)),"V1 Architecture, Design and Threat Modeling Requirements",V1.5 Input and Output Architectural Requirements,020,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,116,,,,
ASVS-V01.06.1,OWASP-ASVS,L2/L3 Verify that there is an explicit policy for management of cryptographic ke...,"Architecture, Design and Threat Modeling Requirements",Verify that there is an explicit policy for management of cryptographic keys and...,,,,Verify that there is an explicit policy for management of cryptographic keys and that a cryptographic key lifecycle follows a key management standard such as NIST SP 800-57.,"V1 Architecture, Design and Threat Modeling Requirements",V1.6 Cryptographic Architectural Requirements,021,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,320,,,,
ASVS-V01.06.2,OWASP-ASVS,L2/L3 Verify that consumers of cryptographic services protect key material and o...,"Architecture, Design and Threat Modeling Requirements",Verify that consumers of cryptographic services protect key material and other s...,,,,Verify that consumers of cryptographic services protect key material and other secrets by using key vaults or API based alternatives.,"V1 Architecture, Design and Threat Modeling Requirements",V1.6 Cryptographic Architectural Requirements,022,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,320,,,,
ASVS-V01.06.3,OWASP-ASVS,L2/L3 Verify that all keys and passwords are replaceable and are part of a well-...,"Architecture, Design and Threat Modeling Requirements",Verify that all keys and passwords are replaceable and are part of a well-define...,,,,Verify that all keys and passwords are replaceable and are part of a well-defined process to re-encrypt sensitive data.,"V1 Architecture, Design and Threat Modeling Requirements",V1.6 Cryptographic Architectural Requirements,023,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,320,,,,
ASVS-V01.06.4,OWASP-ASVS,L2/L3 Verify that the architecture treats client-side secrets--such as symmetric...,"Architecture, Design and Threat Modeling Requirements","Verify that the architecture treats client-side secrets--such as symmetric keys,...",,,,"Verify that the architecture treats client-side secrets--such as symmetric keys, passwords, or API tokens--as insecure and never uses them to protect or access sensitive data.","V1 Architecture, Design and Threat Modeling Requirements",V1.6 Cryptographic Architectural Requirements,024,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,320,,,,
ASVS-V01.07.1,OWASP-ASVS,L2/L3 Verify that a common logging format and approach is used across the system...,"Architecture, Design and Threat Modeling Requirements",Verify that a common logging format and approach is used across the system.  ([C...,,,,Verify that a common logging format and approach is used across the system.  ([C9](https://owasp.org/www-project-proactive-controls/#div-numbering)),"V1 Architecture, Design and Threat Modeling Requirements","V1.7 Errors, Logging and Auditing Architectural Requirements",025,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,1009,,,,
ASVS-V01.07.2,OWASP-ASVS,L2/L3 Verify that logs are securely transmitted to a preferably remote system fo...,"Architecture, Design and Threat Modeling Requirements",Verify that logs are securely transmitted to a preferably remote system for anal...,,,,"Verify that logs are securely transmitted to a preferably remote system for analysis, detection, alerting, and escalation. ([C9](https://owasp.org/www-project-proactive-controls/#div-numbering))","V1 Architecture, Design and Threat Modeling Requirements","V1.7 Errors, Logging and Auditing Architectural Requirements",026,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,0,,,,
ASVS-V01.08.1,OWASP-ASVS,L2/L3 Verify that all sensitive data is identified and classified into protectio...,"Architecture, Design and Threat Modeling Requirements",Verify that all sensitive data is identified and classified into protection leve...,,,,Verify that all sensitive data is identified and classified into protection levels.,"V1 Architecture, Design and Threat Modeling Requirements",V1.8 Data Protection and Privacy Architectural Requirements,027,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,0,,,,
ASVS-V01.08.2,OWASP-ASVS,L2/L3 Verify that all protection levels have an associated set of protection req...,"Architecture, Design and Threat Modeling Requirements",Verify that all protection levels have an associated set of protection requireme...,,,,"Verify that all protection levels have an associated set of protection requirements, such as encryption requirements, integrity requirements, retention, privacy and other confidentiality requirements, and that these are applied in the architecture.","V1 Architecture, Design and Threat Modeling Requirements",V1.8 Data Protection and Privacy Architectural Requirements,028,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,0,,,,
ASVS-V01.09.1,OWASP-ASVS,"L2/L3 Verify the application encrypts communications between components, particu...","Architecture, Design and Threat Modeling Requirements","Verify the application encrypts communications between components, particularly ...",,,,"Verify the application encrypts communications between components, particularly when these components are in different containers, systems, sites, or cloud providers. ([C3](https://owasp.org/www-project-proactive-controls/#div-numbering))","V1 Architecture, Design and Threat Modeling Requirements",V1.9 Communications Architectural Requirements,029,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,319,,,,
ASVS-V01.09.2,OWASP-ASVS,L2/L3 Verify that application components verify the authenticity of each side in...,"Architecture, Design and Threat Modeling Requirements",Verify that application components verify the authenticity of each side in a com...,,,,"Verify that application components verify the authenticity of each side in a communication link to prevent person-in-the-middle attacks. For example, application components should validate TLS certificates and chains.","V1 Architecture, Design and Threat Modeling Requirements",V1.9 Communications Architectural Requirements,030,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,295,,,,
ASVS-V01.10.1,OWASP-ASVS,"L2/L3 Verify that a source code control system is in use, with procedures to ens...","Architecture, Design and Threat Modeling Requirements","Verify that a source code control system is in use, with procedures to ensure th...",,,,"Verify that a source code control system is in use, with procedures to ensure that check-ins are accompanied by issues or change tickets. The source code control system should have access control and identifiable users to allow traceability of any changes.","V1 Architecture, Design and Threat Modeling Requirements",V1.10 Malicious Software Architectural Requirements,031,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,284,,,,
ASVS-V01.11.1,OWASP-ASVS,L2/L3 Verify the definition and documentation of all application components in t...,"Architecture, Design and Threat Modeling Requirements",Verify the definition and documentation of all application components in terms o...,,,,Verify the definition and documentation of all application components in terms of the business or security functions they provide.,"V1 Architecture, Design and Threat Modeling Requirements",V1.11 Business Logic Architectural Requirements,032,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,1059,,,,
ASVS-V01.11.2,OWASP-ASVS,"L2/L3 Verify that all high-value business logic flows, including authentication,...","Architecture, Design and Threat Modeling Requirements","Verify that all high-value business logic flows, including authentication, sessi...",,,,"Verify that all high-value business logic flows, including authentication, session management and access control, do not share unsynchronized state.","V1 Architecture, Design and Threat Modeling Requirements",V1.11 Business Logic Architectural Requirements,033,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,362,,,,
ASVS-V01.11.3,OWASP-ASVS,"L3 Verify that all high-value business logic flows, including authentication, se...","Architecture, Design and Threat Modeling Requirements","Verify that all high-value business logic flows, including authentication, sessi...",,,,"Verify that all high-value business logic flows, including authentication, session management and access control are thread safe and resistant to time-of-check and time-of-use race conditions.","V1 Architecture, Design and Threat Modeling Requirements",V1.11 Business Logic Architectural Requirements,034,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,367,,,,
ASVS-V01.12.1,OWASP-ASVS,L2/L3 Verify that user-uploaded files are stored outside of the web root....,"Architecture, Design and Threat Modeling Requirements",Verify that user-uploaded files are stored outside of the web root....,,,,Verify that user-uploaded files are stored outside of the web root.,"V1 Architecture, Design and Threat Modeling Requirements",V1.12 Secure File Upload Architectural Requirements,035,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,552,,,,TRUE
ASVS-V01.12.2,OWASP-ASVS,L2/L3 Verify that user-uploaded files - if required to be displayed or downloade...,"Architecture, Design and Threat Modeling Requirements",Verify that user-uploaded files - if required to be displayed or downloaded from...,,,,"Verify that user-uploaded files - if required to be displayed or downloaded from the application - are served by either octet stream downloads, or from an unrelated domain, such as a cloud file storage bucket. Implement a suitable Content Security Policy (CSP) to reduce the risk from XSS vectors or other attacks from the uploaded file.","V1 Architecture, Design and Threat Modeling Requirements",V1.12 Secure File Upload Architectural Requirements,036,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,646,,,,TRUE
ASVS-V01.14.1,OWASP-ASVS,L2/L3 Verify the segregation of components of differing trust levels through wel...,"Architecture, Design and Threat Modeling Requirements",Verify the segregation of components of differing trust levels through well-defi...,,,,"Verify the segregation of components of differing trust levels through well-defined security controls, firewall rules, API gateways, reverse proxies, cloud-based security groups, or similar mechanisms.","V1 Architecture, Design and Threat Modeling Requirements",V1.14 Configuration Architectural Requirements,037,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,923,,,,
ASVS-V01.14.2,OWASP-ASVS,"L2/L3 Verify that binary signatures, trusted connections, and verified endpoints...","Architecture, Design and Threat Modeling Requirements","Verify that binary signatures, trusted connections, and verified endpoints are u...",,,,"Verify that binary signatures, trusted connections, and verified endpoints are used to deploy binaries to remote devices.","V1 Architecture, Design and Threat Modeling Requirements",V1.14 Configuration Architectural Requirements,038,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,494,,,,
ASVS-V01.14.3,OWASP-ASVS,L2/L3 Verify that the build pipeline warns of out-of-date or insecure components...,"Architecture, Design and Threat Modeling Requirements",Verify that the build pipeline warns of out-of-date or insecure components and t...,,,,Verify that the build pipeline warns of out-of-date or insecure components and takes appropriate actions.,"V1 Architecture, Design and Threat Modeling Requirements",V1.14 Configuration Architectural Requirements,039,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,1104,,,,
ASVS-V01.14.4,OWASP-ASVS,L2/L3 Verify that the build pipeline contains a build step to automatically buil...,"Architecture, Design and Threat Modeling Requirements",Verify that the build pipeline contains a build step to automatically build and ...,,,,"Verify that the build pipeline contains a build step to automatically build and verify the secure deployment of the application, particularly if the application infrastructure is software defined, such as cloud environment build scripts.","V1 Architecture, Design and Threat Modeling Requirements",V1.14 Configuration Architectural Requirements,040,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,0,,,,
ASVS-V01.14.5,OWASP-ASVS,"L2/L3 Verify that application deployments adequately sandbox, containerize and/o...","Architecture, Design and Threat Modeling Requirements","Verify that application deployments adequately sandbox, containerize and/or isol...",,,,"Verify that application deployments adequately sandbox, containerize and/or isolate at the network level to delay and deter attackers from attacking other applications, especially when they are performing sensitive or dangerous actions such as deserialization. ([C5](https://owasp.org/www-project-proactive-controls/#div-numbering))","V1 Architecture, Design and Threat Modeling Requirements",V1.14 Configuration Architectural Requirements,041,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,265,,,,
ASVS-V01.14.6,OWASP-ASVS,"L2/L3 Verify the application does not use unsupported, insecure, or deprecated c...","Architecture, Design and Threat Modeling Requirements","Verify the application does not use unsupported, insecure, or deprecated client-...",,,,"Verify the application does not use unsupported, insecure, or deprecated client-side technologies such as NSAPI plugins, Flash, Shockwave, ActiveX, Silverlight, NACL, or client-side Java applets.","V1 Architecture, Design and Threat Modeling Requirements",V1.14 Configuration Architectural Requirements,042,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x10-V1-Architecture.md,477,,,,
ASVS-V02.01.01,OWASP-ASVS,L1/L2/L3 Verify that user set passwords are at least 12 characters in length (af...,Authentication Verification Requirements,Verify that user set passwords are at least 12 characters in length (after multi...,,,,Verify that user set passwords are at least 12 characters in length (after multiple spaces are combined). ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering)),V2 Authentication Verification Requirements,V2.1 Password Security Requirements,043,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,521,,,,
ASVS-V02.01.02,OWASP-ASVS,L1/L2/L3 Verify that passwords 64 characters or longer are permitted but may be ...,Authentication Verification Requirements,Verify that passwords 64 characters or longer are permitted but may be no longer...,,,,Verify that passwords 64 characters or longer are permitted but may be no longer than 128 characters. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering)),V2 Authentication Verification Requirements,V2.1 Password Security Requirements,044,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,521,,,,
ASVS-V02.01.03,OWASP-ASVS,"L1/L2/L3 Verify that password truncation is not performed. However, consecutive ...",Authentication Verification Requirements,"Verify that password truncation is not performed. However, consecutive multiple ...",,,,"Verify that password truncation is not performed. However, consecutive multiple spaces may be replaced by a single space. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))",V2 Authentication Verification Requirements,V2.1 Password Security Requirements,045,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,521,,,,
ASVS-V02.01.04,OWASP-ASVS,"L1/L2/L3 Verify that any printable Unicode character, including language neutral...",Authentication Verification Requirements,"Verify that any printable Unicode character, including language neutral characte...",,,,"Verify that any printable Unicode character, including language neutral characters such as spaces and Emojis are permitted in passwords.",V2 Authentication Verification Requirements,V2.1 Password Security Requirements,046,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,521,,,,
ASVS-V02.01.05,OWASP-ASVS,L1/L2/L3 Verify users can change their password....,Authentication Verification Requirements,Verify users can change their password....,,,,Verify users can change their password.,V2 Authentication Verification Requirements,V2.1 Password Security Requirements,047,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,620,,,,
ASVS-V02.01.06,OWASP-ASVS,L1/L2/L3 Verify that password change functionality requires the user's current a...,Authentication Verification Requirements,Verify that password change functionality requires the user's current and new pa...,,,,Verify that password change functionality requires the user's current and new password.,V2 Authentication Verification Requirements,V2.1 Password Security Requirements,048,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,620,,,,
ASVS-V02.01.07,OWASP-ASVS,"L1/L2/L3 Verify that passwords submitted during account registration, login, and...",Authentication Verification Requirements,"Verify that passwords submitted during account registration, login, and password...",,,,"Verify that passwords submitted during account registration, login, and password change are checked against a set of breached passwords either locally (such as the top 1,000 or 10,000 most common passwords which match the system's password policy) or using an external API. If using an API a zero knowledge proof or other mechanism should be used to ensure that the plain text password is not sent or used in verifying the breach status of the password. If the password is breached, the application must require the user to set a new non-breached password. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering))",V2 Authentication Verification Requirements,V2.1 Password Security Requirements,049,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,521,,,,
ASVS-V02.01.08,OWASP-ASVS,L1/L2/L3 Verify that a password strength meter is provided to help users set a s...,Authentication Verification Requirements,Verify that a password strength meter is provided to help users set a stronger p...,,,,Verify that a password strength meter is provided to help users set a stronger password.,V2 Authentication Verification Requirements,V2.1 Password Security Requirements,050,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,521,,,,
ASVS-V02.01.09,OWASP-ASVS,L1/L2/L3 Verify that there are no password composition rules limiting the type o...,Authentication Verification Requirements,Verify that there are no password composition rules limiting the type of charact...,,,,Verify that there are no password composition rules limiting the type of characters permitted. There should be no requirement for upper or lower case or numbers or special characters. ([C6](https://owasp.org/www-project-proactive-controls/#div-numbering)),V2 Authentication Verification Requirements,V2.1 Password Security Requirements,051,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,521,,,,
ASVS-V02.01.10,OWASP-ASVS,L1/L2/L3 Verify that there are no periodic credential rotation or password histo...,Authentication Verification Requirements,Verify that there are no periodic credential rotation or password history requir...,,,,Verify that there are no periodic credential rotation or password history requirements.,V2 Authentication Verification Requirements,V2.1 Password Security Requirements,052,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,263,,,,
ASVS-V02.01.11,OWASP-ASVS,"L1/L2/L3 Verify that ""paste"" functionality, browser password helpers, and extern...",Authentication Verification Requirements,"Verify that ""paste"" functionality, browser password helpers, and external passwo...",,,,"Verify that ""paste"" functionality, browser password helpers, and external password managers are permitted.",V2 Authentication Verification Requirements,V2.1 Password Security Requirements,053,,,,,https://github.com/OWASP/ASVS/blob/v4.0.2/4.0/en/0x11-V2-Authentication.md,521,,,,
